date,key,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,stringency_index
2020-05-27,ZW,3,3,2,3,1,2,2,4,1,0,0,0,2,1,1,0,0,87.96
2020-05-28,AD,3,2,1,0,1,1,0,2,2,2,0,0,2,3,1,0,0,50
2020-05-28,AE,3,2,2,4,1,0,1,4,0,2,0,0,2,3,2,0,0,72.22
2020-05-28,AR,3,2,2,4,2,2,2,4,1,2,0,0,2,1,2,0,0,90.74
2020-05-28,AT,1,2,2,3,0,0,1,3,2,2,0,0,2,2,2,0,0,55.56
2020-05-28,AU,2,1,2,4,0,1,2,4,,,,,,,,,,51.39
2020-05-28,AW,0,2,0,0,0,1,2,3,2,0,0,0,2,1,1,0,0,41.67
2020-05-28,AZ,,,,,,,,4,2,,,,,,,,,
2020-05-28,BA,3,2,2,4,0,0,2,4,2,1,0,0,2,2,0,0,0,71.3
2020-05-28,BB,3,2,2,4,1,2,2,2,1,1,0,0,2,2,2,0,0,81.48
2020-05-28,BD,3,3,2,4,2,2,2,3,2,2,0,0,2,2,1,0,0,93.52
2020-05-28,BE,2,2,2,4,0,2,2,3,2,2,0,0,2,2,1,0,0,75
2020-05-28,BF,3,0,2,3,0,2,0,4,0,0,0,0,2,1,1,0,0,60.19
2020-05-28,BG,2,1,2,4,0,1,0,3,2,2,0,0,2,1,2,0,0,56.48
2020-05-28,BH,3,2,2,4,1,2,1,4,2,2,0,0,2,2,2,0,0,81.48
2020-05-28,BI,0,0,0,0,0,0,0,4,0,0,0,0,2,1,1,0,0,22.22
2020-05-28,BM,3,2,1,4,1,1,1,4,2,0,0,0,2,3,2,0,0,72.22
2020-05-28,BN,3,0,1,3,0,0,1,4,1,0,0,0,2,2,1,0,0,52.78
2020-05-28,BO,3,,2,,,,,,,1,,,,,,,,
2020-05-28,BR,3,3,2,4,2,2,2,4,1,1,0,0,2,2,0,0,0,81.02
2020-05-28,BZ,3,3,2,4,1,2,2,4,1,0,0,0,2,1,2,0,0,90.74
