key,date,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator
NL_NH_1696,2020-06-26,0,8,,,,,,,
NL_NH_1911,2020-06-26,0,26,,,,,,,
NL_NH_1942,2020-06-26,0,23,,,,,,,
NL_OV,2020-06-26,0,548,,,,,,,
NL_OV_0141,2020-06-26,0,23,,,,,,,
NL_OV_0147,2020-06-26,0,14,,,,,,,
NL_OV_0148,2020-06-26,0,16,,,,,,,
NL_OV_0150,2020-06-26,0,47,,,,,,,
NL_OV_0153,2020-06-26,0,53,,,,,,,
NL_OV_0158,2020-06-26,0,14,,,,,,,
NL_OV_0160,2020-06-26,0,23,,,,,,,
NL_OV_0163,2020-06-26,0,8,,,,,,,
NL_OV_0164,2020-06-26,0,21,,,,,,,
NL_OV_0166,2020-06-26,0,59,,,,,,,
NL_OV_0168,2020-06-26,0,7,,,,,,,
